,0,1,2,V OC (V),J SC (mA/cm2),FF (%),PCE (%)
79_4_10,P4,PCBM,1:1,0.7,7.39,43.5,
79_4_11,,,,,,,
79_4_12,P6,PCBM,1:2,0.69,8.96,39.4,
79_4_13,P6,PCBM,1:2,0.66,13.6,32.9,
79_4_14,P6,PCBM,1:1,0.7,6.26,28.8,
80_3_0,1 vol% DIO,,,0.76,15.74,0.60,7.18 (7.01)
80_3_1,3 vol% DIO,,,0.76,16.21,0.65,8.00 (7.92)
80_3_2,5 vol% DIO,,,0.75,14.70,0.68,7.70 (7.54)
80_3_3,a Average PCE for five devices.,,,a Average PCE for five devices.,a Average PCE for five devices.,a Average PCE for five devices.,a Average PCE for five devices.
81_2_0,PBDTBPA-DPP(OD):PC61BM,,,0.45,2.26,39,0.39
81_2_1,P1a:PC61BM,,,0.75,4.00,34,1.05
81_2_2,P1b:PC61BM,,,0.75,5.72,39,1.67
81_2_3,PBDTBPA(H)-DPP:PC  71  BM,,,0.74,13.17,57,5.58
81_2_4,PBDTBPA(F)-DPP:PC  71  BM,,,0.68,9.89,50,4.04
81_2_5,"P1a & P1b = poly{4,8-bis(4-decylphenylethynyl)benzo[1,2-b:4,5-b′]dithiophene}.",,,"P1a & P1b = poly{4,8-bis(4-decylphenylethynyl)benzo[1,2-b:4,5-b′]dithiophene}.","P1a & P1b = poly{4,8-bis(4-decylphenylethynyl)benzo[1,2-b:4,5-b′]dithiophene}.","P1a & P1b = poly{4,8-bis(4-decylphenylethynyl)benzo[1,2-b:4,5-b′]dithiophene}.","P1a & P1b = poly{4,8-bis(4-decylphenylethynyl)benzo[1,2-b:4,5-b′]dithiophene}."
81_8_0,PBDTBPA(H)-DPP,,,0.72 ± 0.01,8.22 ± 0.10,49.32 ± 1.67,2.88 ± 0.05
81_8_1,PBDTBPA(H)-DPP,,,0.73 ± 0.01,12.36 ± 0.10,51.21 ± 0.70,4.62 ± 0.10
81_8_2,PBDTBPA(F)-DPP,,,0.66 ± 0.03,7.71 ± 0.42,37.89 ± 1.68,1.92 ± 0.10
81_8_3,PBDTBPA(F)-DPP,,,0.68 ± 0.01,9.49 ± 0.16,46.99 ± 1.03,3.04 ± 0.16
81_8_4,a PCE is the average of 10 IOSCs.,,,a PCE is the average of 10 IOSCs.,a PCE is the average of 10 IOSCs.,a PCE is the average of 10 IOSCs.,a PCE is the average of 10 IOSCs.
81_9_0,PBDTBPA(H)-DPP,,,0.74 ± 0.01,13.17 ± 0.12,57.28 ± 1.59,5.58 ± 0.25
81_9_1,PBDTBPA(F)-DPP,,,0.68 ± 0.01,11.81 ± 0.10,50.53 ± 0.29,4.04 ± 0.07
81_9_2,a PCE is the average of 10 IOSCs.,,,a PCE is the average of 10 IOSCs.,a PCE is the average of 10 IOSCs.,a PCE is the average of 10 IOSCs.,a PCE is the average of 10 IOSCs.
83_7_0,0% DIO,,,0.77,6.84,0.66,3.49
83_7_1,1% DIO,,,0.76,10.81,0.71,5.89
83_7_2,2% DIO,,,0.77,11.71,0.71,6.41
83_7_3,3% DIO,,,0.76,11.07,0.72,6.09
83_7_4,a DIO content in chlorobenzene.,,,a DIO content in chlorobenzene.,a DIO content in chlorobenzene.,a DIO content in chlorobenzene.,a DIO content in chlorobenzene.
84_0_0,DCB+DIO,,,0.85,6.4,0.52,2.8
84_0_1,DCB+DIO,,,0.79,9.38,0.66,4.85
84_0_2,TCB,,,0.72,14.96,0.68,7.31
84_0_3,DCB+DIO,,,0.66,11.82,0.52,3.98
86_4_0,syn-PBDFID,,,0.8,1.28,0.5,0.53%
86_4_1,syn-PBDFID,,,0.85,2.89,0.59,1.44%
86_4_2,syn-PBDFID,,,0.79,2.83,0.48,1.07%
86_4_3,syn-PBDFID,,,0.85,3.02,0.51,1.32%
86_4_4,anti-PBDFID,,,0.67,1.19,0.48,0.38%
86_4_5,anti-PBDFID,,,0.75,1.74,0.48,0.65%
86_4_6,anti-PBDFID,,,0.53,2.36,0.39,0.48%
86_4_7,anti-PBDFID,,,0.61,2.8,0.38,0.65%
87_5_0,P1,,,0.7,−5.1,0.63,2.28
87_5_1,P1,,,0.69,−7.0,0.6,2.89
87_5_2,P2,,,0.66,−7.0,0.6,2.77
87_5_3,P2,,,0.65,−7.7,0.57,2.81
87_5_4,P3,,,0.67,−6.7,0.47,2.1
87_5_5,P3,,,0.66,−7.4,0.47,2.28
87_5_6,P4,,,0.59,−4.2,0.39,0.97
88_8_0,PBDFTT-C,,,0.56,6.41,53.42,1.92
88_8_1,PBDFTT-C,,,0.54a,13.13,60.03,4.26
88_8_2,PBDFTT-EF,,,0.63,12.04,54.78,4.16
88_8_3,PBDFTT-EF,,,0.61a,15.75,53.82,5.17
88_8_4,PBDFTT-CF,,,0.63,12.51,57.34,4.52
88_8_5,PBDFTT-CF,,,0.63a,13.88,59.81,5.23
88_8_6,PBDFTT-S,,,0.59,12.02,56.14,3.98
88_8_7,PBDFTT-S,,,0.59a,14.21,60.70,5.08
88_8_8,PBDFTT-ECN,,,0.87,5.88,44.59,2.28
88_8_9,PBDFTT-ECN,,,0.82a,4.78,47.26,1.85
88_8_10,a 3% DIO v/v was added.,,,a 3% DIO v/v was added.,a 3% DIO v/v was added.,a 3% DIO v/v was added.,a 3% DIO v/v was added.
89_17_0,P4/PC71BMb (w/w),,,0.66,,0.53,
89_17_1,P4/PC71BMb (w/w),,,0.68,,0.58,
89_17_2,P4/PC71BMb (w/w),,,0.68,,0.59,
89_17_3,P4/PC71BMb (w/w),,,0.67,,0.60,
89_17_4,DIO/CBc (v/v),,,0.66,,0.57,
89_17_5,DIO/CBc (v/v),,,0.66,,0.53,
89_17_6,DIO/CBc (v/v),,,0.68,,0.58,
89_17_7,DIO/CBc (v/v),,,0.65,,0.64,
89_17_8,DIO/CBc (v/v),,,0.65,,0.59,
89_17_9,DIO/CBc (v/v),,,0.66,,0.58,
89_17_10,Methanol treatmentf (min),,,0.65,,0.64,
89_17_11,Methanol treatmentf (min),,,0.65,,0.66,
89_17_12,Methanol treatmentf (min),,,0.65,,0.59,
89_17_13,Methanol treatmentf (min),,,0.65,,0.51,
89_17_14,Methanol treatmentf (min),,,0.65,,0.41,
89_17_15,"a Average of 3 devices fabricated with P4.  b 3% DIO in CB.  c P4/PC71BM at 1:1.5.  d Dried by high vacuum for 20 hours.  e Dried by high vacuum for 20 hours, methanol treatment 2 min.  f 3% DIO in CB, P4/PC71BM at 1:1.5, dried by high vacuum for 20 hours before methanol treatment.",,,"a Average of 3 devices fabricated with P4.  b 3% DIO in CB.  c P4/PC71BM at 1:1.5.  d Dried by high vacuum for 20 hours.  e Dried by high vacuum for 20 hours, methanol treatment 2 min.  f 3% DIO in CB, P4/PC71BM at 1:1.5, dried by high vacuum for 20 hours before methanol treatment.",,"a Average of 3 devices fabricated with P4.  b 3% DIO in CB.  c P4/PC71BM at 1:1.5.  d Dried by high vacuum for 20 hours.  e Dried by high vacuum for 20 hours, methanol treatment 2 min.  f 3% DIO in CB, P4/PC71BM at 1:1.5, dried by high vacuum for 20 hours before methanol treatment.",
89_18_0,P1,,,0.73,,0.54,
89_18_1,P1,,,0.72,,0.51,
89_18_2,P2,,,0.67,,0.59,
89_18_3,P2,,,0.67,,0.55,
89_18_4,P3,,,0.68,,0.60,
89_18_5,P3,,,0.69,,0.54,
89_18_6,P4,,,0.65,,0.64,
89_18_7,P4,,,0.66,,0.60,
89_18_8,"a Average of 10 devices.  b Device condition: (polymer/PC71BM ration at 1:1.5 w/w, 3% DIO in CB, dried under vacuum for 20 hours).  c Same conditions with b followed by methanol surface treatment for 2 minutes.  d Average of 10 measurements on the devices offered the maximum PCEs.",,,"a Average of 10 devices.  b Device condition: (polymer/PC71BM ration at 1:1.5 w/w, 3% DIO in CB, dried under vacuum for 20 hours).  c Same conditions with b followed by methanol surface treatment for 2 minutes.  d Average of 10 measurements on the devices offered the maximum PCEs.",,"a Average of 10 devices.  b Device condition: (polymer/PC71BM ration at 1:1.5 w/w, 3% DIO in CB, dried under vacuum for 20 hours).  c Same conditions with b followed by methanol surface treatment for 2 minutes.  d Average of 10 measurements on the devices offered the maximum PCEs.",
90_0_0,BDF; (2EH/C7),–,,0.94,10.8,0.65,
90_0_1,,5%b)b)Devices prepared from blends containing 5% (v/v) of the processing additive 1‐chloronaphthalene (CN).,,0.95,9.8,0.6,
90_0_2,BDF; (2EH/C8),–,,0.97,11.2,0.68,
90_0_3,,5%b)b)Devices prepared from blends containing 5% (v/v) of the processing additive 1‐chloronaphthalene (CN).,,0.97,11.2,0.59,
90_0_4,BDF; (2EH/C9),–,,0.93,11.3,0.69,
90_0_5,,5%b)b)Devices prepared from blends containing 5% (v/v) of the processing additive 1‐chloronaphthalene (CN).,,0.93,10.6,0.64,
90_0_6,BDF; (2EH/C10),–,,0.94,9.1,0.67,
90_0_7,,5%b)b)Devices prepared from blends containing 5% (v/v) of the processing additive 1‐chloronaphthalene (CN).,,0.94,11.2,0.6,
90_0_8,BDT; (2EH/C8),–,,0.94,11.1,0.66,
90_0_9,,5%b)b)Devices prepared from blends containing 5% (v/v) of the processing additive 1‐chloronaphthalene (CN).,,0.94,12.0,0.61,
91_5_0,P9:PC61BM,,,0.83,6.12,45.4,2.29
91_5_1,P9:PC71BM,,,0.8,7.51,43.8,2.63
91_5_2,P9:PC71BM (with 5% DIO),,,0.8,9.81,58.7,4.61
92_0_0,PTDBD2/PC71BM (1:1.2),,,0.89,13.0,65.3,7.6
92_0_1,PTDBD3/PC71BM (1:1.3),,,0.88,10.7,52.1,4.9
92_0_2,PTDBD2/PC61BM (1:1.2),,,0.87,9.7,63.0,5.3
92_0_3,PTDBD3/PC61BM (1:1.3),,,0.87,7.5,59.4,3.9
93_7_0,PBT-HD-DPP-C16/PC71BM,,,0.60,5.01,52.1,
93_7_1,PBT-HD-DPP-C16/PC71BM,,,0.62,6.41,60.9,
93_7_2,PBT-T-DPP-C12/PC71BM,,,0.65,11.01,58.3,
93_7_3,PBT-T-DPP-C12/PC71BM,,,0.65,12.61,63.4,
93_7_4,PBT-TIPS-DPP-C16/PC71BM,,,0.75,12.79,58.2,
93_7_5,PBT-TIPS-DPP-C16/PC71BM,,,0.75,13.9,61.3,
93_7_6,"a J  integralsc, the integral current density calculated from IPCE data.",,,"a J  integralsc, the integral current density calculated from IPCE data.","a J  integralsc, the integral current density calculated from IPCE data.","a J  integralsc, the integral current density calculated from IPCE data.",
95_1_0,TBTIT‐h,,,0.72,17.7,0.71,9.1
95_1_1,TBTIT‐l,,,0.73,13.6,0.54,5.3
97_0_0,PBBTzCz,,,"0.74d)d)Polymer:PC61BM = 1:2 (w/w); an o‐dichlorobenzene (oDCB) solution, thermal annealing at 100 °C for 10 min;","4.21d)d)Polymer:PC61BM = 1:2 (w/w); an o‐dichlorobenzene (oDCB) solution, thermal annealing at 100 °C for 10 min;","0.30d)d)Polymer:PC61BM = 1:2 (w/w); an o‐dichlorobenzene (oDCB) solution, thermal annealing at 100 °C for 10 min;","0.95d)d)Polymer:PC61BM = 1:2 (w/w); an o‐dichlorobenzene (oDCB) solution, thermal annealing at 100 °C for 10 min;"
97_0_1,PBBTz‐ran‐TPD,,,"0.72e)e)Polymer:PC61BM = 1:1 (w/w); oDCB solution with 3% v/v DIO, thermal annealing at 150 °C for 10 min;","2.25e)e)Polymer:PC61BM = 1:1 (w/w); oDCB solution with 3% v/v DIO, thermal annealing at 150 °C for 10 min;","0.56e)e)Polymer:PC61BM = 1:1 (w/w); oDCB solution with 3% v/v DIO, thermal annealing at 150 °C for 10 min;","0.90e)e)Polymer:PC61BM = 1:1 (w/w); oDCB solution with 3% v/v DIO, thermal annealing at 150 °C for 10 min;"
97_0_2,PBBTz‐ran‐BT,,,–,– g)g)Not obtained.,– g)g)Not obtained.,– g)g)Not obtained.
97_1_0,PBBTzBT‐HD,35.0,1.2,0.83d)d)Polymer:PC 61BM = 1:2 (w/w); oDCB solution;,7.17d)d)Polymer:PC 61BM = 1:2 (w/w); oDCB solution;,0.54d)d)Polymer:PC 61BM = 1:2 (w/w); oDCB solution;,3.20d)d)Polymer:PC 61BM = 1:2 (w/w); oDCB solution;
97_1_1,PBBTzBT‐DT,107.0,2.1,"0.83e)e)Polymer:PC 61BM = 1:2 (w/w); a chlorobenzene (CB) solution with 3% v/v DIO, thermal annealing at 160 °C for 10 min;","5.74e)e)Polymer:PC 61BM = 1:2 (w/w); a chlorobenzene (CB) solution with 3% v/v DIO, thermal annealing at 160 °C for 10 min;","0.50e)e)Polymer:PC 61BM = 1:2 (w/w); a chlorobenzene (CB) solution with 3% v/v DIO, thermal annealing at 160 °C for 10 min;","2.37e)e)Polymer:PC 61BM = 1:2 (w/w); a chlorobenzene (CB) solution with 3% v/v DIO, thermal annealing at 160 °C for 10 min;"
97_1_2,,,,"0.84f)f)Inverted cell (ITO/TiOx/BHJ/MoOx/Au); polymer:PC61BM = 1:2 (w/w); CB solution with 3% v/v DIO, thermal annealing at 120 °C for 10 min.","8.01f)f)Inverted cell (ITO/TiOx/BHJ/MoOx/Au); polymer:PC61BM = 1:2 (w/w); CB solution with 3% v/v DIO, thermal annealing at 120 °C for 10 min.","0.57f)f)Inverted cell (ITO/TiOx/BHJ/MoOx/Au); polymer:PC61BM = 1:2 (w/w); CB solution with 3% v/v DIO, thermal annealing at 120 °C for 10 min.","3.84f)f)Inverted cell (ITO/TiOx/BHJ/MoOx/Au); polymer:PC61BM = 1:2 (w/w); CB solution with 3% v/v DIO, thermal annealing at 120 °C for 10 min."
99_3_0,a-PTPTBT,,,0.87,8.1,64.9,4.3
99_3_1,a-PTPTBT,,,0.86,10.7,60.4,5.4
99_3_2,PTPTBT,,,0.8,10.1,53.0,4.0
99_3_3,a-PTPTBT-SAb,,,0.85,11.2,67.2,6.1
99_3_4,a Using PC61BM (Purchased from Nano-C) as acceptors.  b Using PC71BM (Purchased from Solenne) as acceptors.,,,,,,
100_3_0,1.5:1,,,0.93,4.45,45,1.86
100_3_1,1.5:1a,,,0.95,7.36,63,4.40
100_3_2,1:1,,,0.93,5.28,54,2.65
100_3_3,1:1a,,,0.91,9.03,64,5.26
100_3_4,1:2,,,0.92,5.46,45,2.26
100_3_5,1:2a,,,0.93,7.92,52,3.83
100_3_6,a 1% DIO additive (v/v).,,,a 1% DIO additive (v/v).,a 1% DIO additive (v/v).,a 1% DIO additive (v/v).,a 1% DIO additive (v/v).
101_3_0,PDIDTBT,,,0.7,3.3,33,0.76
101_3_1,PDIDTDTBT,,,0.7,5.3,44,1.65
101_3_2,PTDIDTTBT,,,0.68,6.2,47,2.0
101_3_3,PTDIDTTBT/PDIDTDTBT,,,0.85,6.4,43,2.4
102_1_0,PBDPTBT,,,0.6,10.34,49.7,3.08
102_1_1,PBDPTBT[c],,,0.6,8.87,49.0,2.61
102_1_2,PBDPTTPD[d],,,0.75,9.69,51.2,3.72
102_1_3,PBDPTTPD,,,0.74,9.3,49.04,3.37
102_1_4,PBDPTDPP,,,0.56,4.95,48.5,1.34
103_4_0,PDTCTTTPD,,,0.72,8.35,43,2.59
103_4_1,PDTCTTBT,,,0.64,8.03,50,2.57
103_4_2,PDTCTTPQX,,,0.62,7.33,42,1.91
104_6_0,PDTT,,,0.75,6.80,0.44,2.24
104_6_1,PDTT,,,0.73,4.34,0.44,1.39
104_6_2,PDTT,,,0.68,9.85,0.54,3.64
104_6_3,a With 3% DIO additive (v/v).,,,a With 3% DIO additive (v/v).,a With 3% DIO additive (v/v).,a With 3% DIO additive (v/v).,a With 3% DIO additive (v/v).
106_4_0,Si4T-BT,,,0.67,9.69,0.43,2.79
106_4_1,Si4T-TPD,,,0.80,9.42,0.46,3.46
106_4_2,Si4T-2FBT,,,0.77,14.07,0.51,5.52
106_4_3,Conventional device architecture ITO/PEDOT:PSS/polymer:PC71BM/Ca/Al with a polymer:PC71BM blend ratio of 1:3.5 processed from o-dichlorobenzene.,,,Conventional device architecture ITO/PEDOT:PSS/polymer:PC71BM/Ca/Al with a polymer:PC71BM blend ratio of 1:3.5 processed from o-dichlorobenzene.,Conventional device architecture ITO/PEDOT:PSS/polymer:PC71BM/Ca/Al with a polymer:PC71BM blend ratio of 1:3.5 processed from o-dichlorobenzene.,Conventional device architecture ITO/PEDOT:PSS/polymer:PC71BM/Ca/Al with a polymer:PC71BM blend ratio of 1:3.5 processed from o-dichlorobenzene.,Conventional device architecture ITO/PEDOT:PSS/polymer:PC71BM/Ca/Al with a polymer:PC71BM blend ratio of 1:3.5 processed from o-dichlorobenzene.
108_0_0,A,,,0.83,10.35 (9.81)b)b) b)Calculated from the IPCE spectra shown in Figure S3 (Supporting Information);,55.7,4.8
108_0_1,B,,,0.83,12.29 (11.97)b)b) b)Calculated from the IPCE spectra shown in Figure S3 (Supporting Information);,65.6,6.7
108_0_2,C,,,0.83,12.57 (12.35)b)b) b)Calculated from the IPCE spectra shown in Figure S3 (Supporting Information);,66.8,7.0
108_0_3,D,,,0.76,12.14,61.9,5.7
108_0_4,E,,,0.83,11.31 (10.44)b)b) b)Calculated from the IPCE spectra shown in Figure S3 (Supporting Information);,63.4,6.0
109_4_0,PDTSCBT,,,0.82,11.1,56.7,5.2
109_4_1,PDTPCBT,,,0.5,10.5,49.9,2.6
109_4_2,PDTCCBTb)b) b) Device data from ref. 4.,,,0.74,10.3,60.0,4.6
111_4_0,Device A,,,0.82,10.01,54.9,4.50
111_4_1,Device B,,,0.81,12.82,55.5,5.76
111_4_2,Device Ca,,,1.62,8.03,54.4,7.08
111_4_3,"a Thickness of P3HT:IC60BA blend = 190 nm, thickness of PBDCPDT–FBT:PC71BM blend = 90 nm.",,,"a Thickness of P3HT:IC60BA blend = 190 nm, thickness of PBDCPDT–FBT:PC71BM blend = 90 nm.","a Thickness of P3HT:IC60BA blend = 190 nm, thickness of PBDCPDT–FBT:PC71BM blend = 90 nm.","a Thickness of P3HT:IC60BA blend = 190 nm, thickness of PBDCPDT–FBT:PC71BM blend = 90 nm.","a Thickness of P3HT:IC60BA blend = 190 nm, thickness of PBDCPDT–FBT:PC71BM blend = 90 nm."
112_1_0,PIDT‐DFBT/PC71BM,,,0.97,11.2,0.55,5.97
112_1_1,PIDTT‐DFBT/PC71BM,,,0.95,12.21,0.61,7.03
113_2_0,PIDT‐DFBTa)a)Data from our previous work;8,,,0.92 ± 0.01,10.87 ± 0.13,0.50 ± 0.01,5.10
113_2_1,PIDTT‐T‐DFBT,,,0.92 ± 0.01,10.40 ± 0.12,0.54 ± 0.02,5.26 (5.14)
113_2_2,PIDTCPDT‐DFBT,,,0.75 ± 0.01,14.59 ± 0.16,0.59 ± 0.01,6.46 (6.32)
115_9_0,PCDTMBI,,,0.65,10.0,0.48,3.12
115_9_1,PCPPDTMBI,,,0.47,4.48,0.32,0.67
115_9_2,PFDTMBI,,,0.56,2.44,0.31,0.42
116_0_0,1:1,,,0.7,,40.9,1.7
116_0_1,1:1,,,0.85,,49.7,2.94
116_0_2,1:2,,,0.7,,45.6,2.6
116_0_3,1:2,,,0.85,,60.5,4.28
116_0_4,1:4,,,0.78,,56.3,3.99
116_0_5,1:4,,,0.81,,65.8,6.07
116_0_6,1:4,,,0.8,,57.4,4.52
117_0_0,TQ1:[60]PCBM = 1:3,,,0.9,5.9,0.56,
117_0_1,TQ1:[60]PCBM = 1:3,,,0.86,9.4,0.6,
117_0_2,TQ1:[70]PCBM = 1:2,,,0.91,9.4,0.68,
117_0_3,TQ1:[70]PCBM = 1:3,,,0.89,10.5,0.64,
117_0_4,TQ1:[70]PCBM = 1:4,,,0.89,10.1,0.63,
118_0_0,PDTSTTz:PC70BM = 1:1a),,,0.76,10.5,0.5870000000000001,4.68
118_0_1,PDTSTTz:PC70BM = 1:1b),,,0.77,11.9,0.61,5.59
118_0_2,PDTSTTz:PC70BM = 1:2a),,,0.77,10.57,0.514,4.18
118_0_3,PDTSBTz:PC70BM = 1:1c),,,0.68,7.85,0.535,2.86
119_3_0,PDTSNTDO:PC70BM = 1:1,,,0.89,9.57,60.3,5.13
119_3_1,PDTSNTDO:PC70BM = 1:2,,,0.88,9.24,64.0,5.21
119_3_2,PDTSNTDO:PC70BM = 1:3,,,0.88,6.39,58.8,3.31
120_8_0,PDTPBT-C8,,,0.4,5.63,0.5,1.11
120_8_1,PDTPBT-C8,,,0.43,6.19,0.46,1.23
120_8_2,PDTPBT-C8,,,0.4,6.66,0.45,1.2
120_8_3,PDTPBT-C6,,,0.42,10.8,0.41,1.88
120_8_4,PDTPBT-C6,,,0.43,11.1,0.43,2.06
120_8_5,PDTPBT-C6,,,0.38,8.17,0.33,1.02
120_8_6,PDTPBT-C5,,,0.46,8.86,0.47,1.91
120_8_7,PDTPBT-C5,,,0.54,11.9,0.44,2.8
120_8_8,PDTPBT-C5,,,0.55,12.3,0.41,2.76
121_10_0,PDTC  a,,,0.8,10.04,0.47,3.74
121_10_1,PDTC  b,,,0.8,9.4,0.45,3.45
121_10_2,PDTSi  a,,,0.91,2.32,0.56,1.18
121_10_3,PDTSi  b,,,0.85,6.58,0.37,2.13
121_10_4,PDTP  a,,,0.71,2.53,0.5,0.91
121_10_5,PDTP  b,,,0.76,4.69,0.53,1.69
121_10_6,a Film from pristine DCB.  b Film from o-DCB : 2 vol% CN.,,,,,,
122_9_0,P1,,,0.36,4.2,53.6,0.8
122_9_1,P2,,,0.44,3.69,40.0,0.7
122_9_2,P3,,,0.58,4.04,47.8,1.1
122_9_3,P4,,,0.77,4.62,68.8,2.5
123_1_0,PBnDT‐DTBT,,,0.87,10.03,57.3,5.0 (4.7)
123_1_1,PBnDT‐DTffBT,,,0.91,12.91,61.2,7.2 (6.9)
124_3_0,1:2,,,0.6,2.1,36.0,
124_3_1,1:2,,,0.76,2.43,41.0,
124_3_2,1:2,,,0.76,5.02,53.1,
124_3_3,1:2,,,0.72,3.7,50.6,
124_4_0,1:2,,,0.72,3.91,49.1,
124_4_1,1:2,,,0.74,5.97,39.5,
124_4_2,1:2,,,0.72,5.69,50.3,
124_4_3,1:2,,,0.6,2.18,37.5,
124_4_4,1:2,,,0.6,0.78,42.7,
124_4_5,1:2,,,0.46,1.57,38.5,
127_3_0,PGeTFDTBT,,,0.71,13.51,0.57,5.47
127_3_1,PGeDTBT,,,0.66,7.46,0.68,3.51
128_3_0,1:0.8,,,0.72,10.38,64.7,4.83
128_3_1,1:1,,,0.71,10.86,68.0,5.24
128_3_2,1:1.3,,,0.73,11.25,71.6,5.88
128_3_3,1:2,,,0.7,9.97,68.1,4.75
129_0_0,19 kg mol–1 / ZnO,,,0.92 (0.90 ± 0.02),9.5 (9.3 ± 0.3),50 (49 ± 3),4.4 (4.25 ± 0.30)
129_0_1,78 kg mol–1 / ZnO,,,0.92 (0.92 ± 0.01),13.6 (13.4 ± 0.3),60 (60 ± 2),7.6 (7.40 ± 0.30)
129_0_2,112 kg mol–1 / ZnO,,,0.92 (0.92 ± 0.01),14.5 (14.3 ± 0.2),64 (62 ± 2),8.5 (8.45 ± 0.25)
129_0_3,136 kg mol–1 / ZnO,,,0.90 (0.90 ± 0.02),13.4 (13.1 ± 0.3),53 (51 ± 3),6.4 (6.20 ± 0.30)
129_0_4,112 kg mol–1 / ZnO / PCBEOHb)b)Average of 80 devices.,,,0.92 (0.92 ± 0.01),15.4 (15.4 ± 0.7),66 (64 ± 3),9.4 (9.15 ± 0.35)
130_3_0,PDTBTV,,,0.55,,28.83,
130_3_1,PDTBTV,,,0.56,,24.5,
130_3_2,PDTBTV,,,0.43,,33.51,
130_3_3,PDTBTFV,,,0.73,,38.57,
130_3_4,PDTBTFV,,,0.75,,37.97,
130_3_5,PDTBTFV,,,0.83,,34.56,
131_7_0,PTVcBBO,,,0.35,0.12,26,0.01
131_7_1,PTVtBBO,,,0.40,0.66,31,0.08
131_7_2,Polymers films were prepared from solutions in o-DCB 10 mg mL−1.,,,Polymers films were prepared from solutions in o-DCB 10 mg mL−1.,Polymers films were prepared from solutions in o-DCB 10 mg mL−1.,Polymers films were prepared from solutions in o-DCB 10 mg mL−1.,Polymers films were prepared from solutions in o-DCB 10 mg mL−1.
132_9_0,PEBT,,,0.57,2.33,0.4,
132_9_1,PEBTBT,,,0.45,4.16,0.57,
132_9_2,PEBTTBT,,,0.6,4.41,0.4,
132_9_3,"a At 1:2 blending ratio of polymer:PC70BM (by weight).  b BC/TG, the channel length was 20 μm, at a gate bias of 60 V.  c Short circuit current density in current–voltage curve (Fig. 5).  d Open circuit voltage in current–voltage curve (Fig. 5).  e The root mean squared roughness measured by AFM.",,,,,,
133_7_0,PCzTh–TVCN,,,0.77,2.26,32.0,0.56
133_7_1,PCzTh–TVCN,,,0.83,3.16,33.9,0.89
133_7_2,PCzTh–TVCN,,,0.83,3.21,38.3,1.02
133_7_3,PCzTh–TVCN,,,0.84,3.17,34.5,0.92
133_7_4,PCzTh–TVDCN,,,0.78,3.4,35.3,0.93
133_7_5,PCzTh–TVDCN,,,0.96,3.66,32.8,1.15
133_7_6,PCzTh–TVDCN,,,0.95,4.0,35.2,1.34
133_7_7,PCzTh–TVDCN,,,0.93,3.56,33.6,1.12
133_7_8,PCzTh–TVDT,,,0.75,2.4,27.0,0.49
133_7_9,PCzTh–TVDT,,,0.9,3.15,28.4,0.81
133_7_10,PCzTh–TVDT,,,0.94,3.7,28.7,1.0
133_7_11,PCzTh–TVDT,,,0.93,3.2,27.4,0.82
133_9_0,PCzTh–TVCN,,,0.99,3.72,36.1,1.33
133_9_1,PCzTh–TVDCN,,,1.03,5.75,36.5,2.16
133_9_2,PCzTh–TVDT,,,0.96,4.67,29.1,1.3
134_3_0,C60,,,0.8,5.09,0.4,1.64
134_3_1,C70,,,0.81,6.07,0.44,2.18
134_3_2,C70,,,0.81,6.36,0.41,2.12
134_3_3,a All devices made from chloroform:ODCB with a 1:2 ratio of P1:PCBM.,,,,,,
135_3_0,PNB-3,,,0.68,2.74 (2.36)a,32.0,0.61 (0.52)a
135_3_1,PNB-3,,,0.66,2.76 (2.87)a,34.0,0.62 (0.64)a
135_3_2,PNB-4,,,0.72,4.30 (4.47)a,56.0,1.73 (1.80)a
135_3_3,PNB-4,,,0.64,13.50 (12.66)a,62.0,5.27 (5.00)a
135_3_4,a EQE calibrated value.,,,,,,
136_5_0,PzIIG-BDT2TC8:PC61BM = 1:1,,,1.04,5.23,50.28,2.74
136_5_1,PzIIG-BDT2TC8:PC61BM = 1:2,,,1.03,5.68,53.39,3.12
136_5_2,PzIIG-BDT2TC8:PC61BM = 1:3,,,1.02,5.16,44.26,2.33
136_5_3,PzIIG-BDT2TC8:PC61BM = 1:2,,,1.02,6.68,62.18,4.24
136_5_4,PzIIG-BDT2TC8:PC71BM = 1:2,,,1.01,7.93,65.63,5.26
136_5_5,PzIIG-BTT2TC10:PC61BM = 1:1,,,0.96,3.5,44.35,1.49
136_5_6,PzIIG-BTT2TC10:PC61BM = 1:2,,,0.95,3.92,50.86,1.89
136_5_7,PzIIG-BTT2TC10:PC61BM = 1:3,,,0.95,3.16,43.8,1.31
136_5_8,PzIIG-BTT2TC10:PC61BM = 1:2,,,0.95,4.55,61.61,2.66
136_5_9,PzIIG-BTT2TC10:PC71BM = 1:2,,,0.94,5.89,60.78,3.36
137_1_0,PBDTTT‐S‐T,,,0.83,11.41,48.57,4.6
137_1_1,1:1.5,,,11.79,52.12,5.0,
137_1_2,1:2,,,9.91,54.92,4.41,
137_1_3,PDT‐S‐T,,,0.76,14.36,59.65,6.51
137_1_4,1:1.5,,,16.63,64.13,7.79,
137_1_5,1:2,,,14.75,63.48,6.74,
137_2_0,PBDTTT‐S‐T,,,0.78,11.28,59.3,5.22
137_2_1,1,,,11.33,61.4,5.43,
137_2_2,2,,,12.27,61.98,5.93,
137_2_3,3,,,12.06,59.97,5.64,
